model-1601899771,1601899771.122,0,0.57,0.2489,0.64,0.2385
model-1601899771,1601899771.141,0,0.57,0.2429,0.64,0.2223
model-1601899771,1601899771.159,0,0.57,0.2472,0.64,0.2269
model-1601899771,1601899771.178,0,0.43,0.2756,0.64,0.2448
model-1601899771,1601899771.196,0,0.5,0.2487,0.36,0.2565
model-1601899771,1601899771.221,0,0.36,0.2548,0.36,0.2519
model-1601899771,1601899771.241,0,0.43,0.2497,0.64,0.2472
model-1601899771,1601899771.263,0,0.5,0.2498,0.64,0.2458
model-1601899771,1601899771.283,0,0.5,0.2479,0.64,0.2454
model-1601899771,1601899771.3,0,0.29,0.2525,0.64,0.2474
model-1601899771,1601899771.318,0,0.86,0.2485,0.43,0.2507
model-1601899771,1601899771.337,1,0.43,0.2507,0.36,0.2562
model-1601899771,1601899771.354,1,0.43,0.2552,0.36,0.2544
model-1601899771,1601899771.371,1,0.43,0.2483,0.43,0.2491
model-1601899771,1601899771.388,1,0.57,0.2393,0.36,0.2497
model-1601899771,1601899771.404,1,0.5,0.2447,0.5,0.2478
model-1601899771,1601899771.421,1,0.36,0.2525,0.57,0.2438
model-1601899771,1601899771.439,1,0.71,0.2406,0.79,0.2409
model-1601899771,1601899771.455,1,0.79,0.2361,0.79,0.2379
model-1601899771,1601899771.472,1,0.64,0.2375,0.64,0.235
model-1601899771,1601899771.488,1,0.64,0.2303,0.64,0.2405
model-1601899771,1601899771.505,1,0.64,0.2287,0.36,0.2891
model-1601899771,1601899771.53,2,0.43,0.2932,0.36,0.2699
model-1601899771,1601899771.55,2,0.43,0.27,0.57,0.247
model-1601899771,1601899771.566,2,0.57,0.2322,0.79,0.2293
model-1601899771,1601899771.583,2,0.86,0.2178,0.79,0.2278
model-1601899771,1601899771.599,2,0.57,0.2307,0.79,0.2282
model-1601899771,1601899771.616,2,0.71,0.2302,0.71,0.2258
model-1601899771,1601899771.634,2,0.71,0.2248,0.71,0.2195
model-1601899771,1601899771.65,2,0.71,0.2347,0.71,0.2218
model-1601899771,1601899771.667,2,0.64,0.2263,0.79,0.2105
model-1601899771,1601899771.684,2,0.57,0.2538,0.71,0.212
model-1601899771,1601899771.7,2,0.43,0.2504,0.71,0.2304
model-1601899771,1601899771.723,3,0.57,0.2464,0.64,0.231
model-1601899771,1601899771.743,3,0.36,0.2386,0.64,0.2315
model-1601899771,1601899771.759,3,0.57,0.2287,0.64,0.2279
model-1601899771,1601899771.776,3,0.86,0.1818,0.64,0.2262
model-1601899771,1601899771.793,3,0.71,0.221,0.71,0.2199
model-1601899771,1601899771.814,3,0.71,0.2273,0.79,0.2138
model-1601899771,1601899771.833,3,0.71,0.2037,0.71,0.2105
model-1601899771,1601899771.851,3,0.79,0.1881,0.71,0.1996
model-1601899771,1601899771.868,3,0.71,0.2001,0.79,0.1919
model-1601899771,1601899771.888,3,0.64,0.2327,0.79,0.1947
model-1601899771,1601899771.907,3,0.43,0.2608,0.71,0.1999
model-1601899771,1601899771.931,4,0.57,0.2415,0.79,0.1938
model-1601899771,1601899771.951,4,0.71,0.1937,0.71,0.1967
model-1601899771,1601899771.97,4,0.79,0.1781,0.79,0.1919
model-1601899771,1601899771.988,4,0.71,0.1714,0.79,0.1833
model-1601899771,1601899772.005,4,0.57,0.1916,0.79,0.181
model-1601899771,1601899772.026,4,0.71,0.164,0.79,0.1863
model-1601899771,1601899772.045,4,0.79,0.1571,0.79,0.1832
model-1601899771,1601899772.068,4,0.71,0.1664,0.79,0.1808
model-1601899771,1601899772.099,4,0.79,0.173,0.71,0.1802
model-1601899771,1601899772.122,4,0.71,0.2027,0.71,0.1907
model-1601899771,1601899772.141,4,0.71,0.2117,0.5,0.2659
